platform,query,page,product_name,current_price,original_price,discount,fake_discount,rating,urgency_text,has_urgency,suspicious_discount,full_text,product_url
Flipkart,headphones,3,YAROH P9 (Bluetooth Headphones) Stylish Wireless (Gamin,₹419,"₹1,399",70% off,No,3.6,Only few left,True,True,"YAROH P9 (Bluetooth Headphones) Stylish Wireless (Gamin... 3.6 (20) ₹419 ₹1,399 70% off Only few left Add to Compare",https://www.flipkart.com/yaroh-p9-bluetooth-headphones-stylish-wireless-gaming-headset-bt5-90mj91-bluetooth/p/itma0166fcb5aa66?pid=ACCHF4Q88GGEXE8Y&lid=LSTACCHF4Q88GGEXE8YFM4WZB&marketplace=FLIPKART&q=headphones&store=0pm%2Ffcn%2Fgc3&srno=s_3_112&otracker=search&fm=organic&iid=7ead10db-b3bb-4d99-a286-76f57b0c5b12.ACCHF4Q88GGEXE8Y.SEARCH&ppt=None&ppn=None&ssid=8fxlluiis00000001780910522516&qH=edd443896ef5dbfc&ov_redirect=true&ov_redirect=true
Flipkart,headphones,3,GameSir Astro Over-Ear Wireless Bluetooth Headphones |,₹840,"₹2,999",71% off,No,4.4,Only few left,True,True,"GameSir Astro Over-Ear Wireless Bluetooth Headphones | ... 4.4 (24) ₹840 ₹2,999 71% off Only few left Add to Compare",https://www.flipkart.com/gamesir-astro-over-ear-wireless-bluetooth-headphones-noise-cancellation-60h-battery/p/itm06f8de4bb1c93?pid=ACCH3J44HJQRNHSS&lid=LSTACCH3J44HJQRNHSSAGELGU&marketplace=FLIPKART&q=headphones&store=0pm%2Ffcn%2Fgc3&srno=s_3_113&otracker=search&fm=organic&iid=7ead10db-b3bb-4d99-a286-76f57b0c5b12.ACCH3J44HJQRNHSS.SEARCH&ppt=None&ppn=None&ssid=8fxlluiis00000001780910522516&qH=edd443896ef5dbfc&ov_redirect=true&ov_redirect=true
Flipkart,headphones,3,"ZEBRONICS Zeb-Storm, In-Line Mic",₹799,N/A,N/A,N/A,1.5,Only 3 left,True,False,"ZEBRONICS Zeb-Storm, In-Line Mic, 1.5 Meter Cable, 3.5m... 3.7 (2,424) ₹799 Only 3 left Add to Compare",https://www.flipkart.com/zebronics-zeb-storm-in-line-mic-1-5-meter-cable-3-5mm-jack-soft-cushion-40mm-drivers-wired/p/itm027e874b2f3b6?pid=ACCHYBYSTJDSNY9X&lid=LSTACCHYBYSTJDSNY9XFJP5HN&marketplace=FLIPKART&q=headphones&store=0pm%2Ffcn%2Fgc3&srno=s_3_114&otracker=search&fm=organic&iid=7ead10db-b3bb-4d99-a286-76f57b0c5b12.ACCHYBYSTJDSNY9X.SEARCH&ppt=None&ppn=None&ssid=8fxlluiis00000001780910522516&qH=edd443896ef5dbfc&ov_redirect=true&ov_redirect=true
Flipkart,headphones,3,PunnkFunnk Astro Over-Ear Wireless Bluetooth Headphones,₹840,"₹2,999",71% off,No,3.7,Only few left,True,True,"PunnkFunnk Astro Over-Ear Wireless Bluetooth Headphones... 3.7 (49) ₹840 ₹2,999 71% off Only few left Add to Compare",https://www.flipkart.com/punnkfunnk-astro-over-ear-wireless-bluetooth-headphones-noise-cancellation-60h-battery/p/itm6994420ef880e?pid=ACCH92ZFGFTJW8HG&lid=LSTACCH92ZFGFTJW8HGVMSIL7&marketplace=FLIPKART&q=headphones&store=0pm%2Ffcn%2Fgc3&srno=s_3_115&otracker=search&fm=organic&iid=7ead10db-b3bb-4d99-a286-76f57b0c5b12.ACCH92ZFGFTJW8HG.SEARCH&ppt=None&ppn=None&ssid=8fxlluiis00000001780910522516&qH=edd443896ef5dbfc&ov_redirect=true&ov_redirect=true
Flipkart,headphones,3,YAROH SPE67-Over the head Bluetooth Headset Bluetooth H,₹351,₹978,64% off,No,3.3,Only few left,True,False,YAROH SPE67-Over the head Bluetooth Headset Bluetooth H... 3.3 (3) ₹351 ₹978 64% off Only few left Add to Compare,https://www.flipkart.com/yaroh-spe67-over-head-bluetooth-headset/p/itmd5cdcb5be89ea?pid=ACCGW3PVAJPZH6ED&lid=LSTACCGW3PVAJPZH6ED35TXYN&marketplace=FLIPKART&q=headphones&store=0pm%2Ffcn%2Fgc3&srno=s_3_116&otracker=search&fm=organic&iid=7ead10db-b3bb-4d99-a286-76f57b0c5b12.ACCGW3PVAJPZH6ED.SEARCH&ppt=None&ppn=None&ssid=8fxlluiis00000001780910522516&qH=edd443896ef5dbfc&ov_redirect=true&ov_redirect=true
Flipkart,headphones,3,"TRIGGR Trinity 2 with Dual Pairing, ENC, Fast Charge, 5",₹713,"₹2,999",76% off,No,3.9,None,False,True,"Currently unavailable TRIGGR Trinity 2 with Dual Pairing, ENC, Fast Charge, 5... 3.9 (23,315) ₹713 ₹2,999 76% off Bank Offer Add to Compare",https://www.flipkart.com/triggr-trinity-2-dual-pairing-enc-fast-charge-50h-battery-rubber-finish-v5-3-bluetooth/p/itmf187255153195?pid=ACCHE5CSYGVG5H97&lid=LSTACCHE5CSYGVG5H97DK6QQD&marketplace=FLIPKART&q=headphones&store=0pm%2Ffcn%2Fgc3&srno=s_3_117&otracker=search&fm=organic&iid=7ead10db-b3bb-4d99-a286-76f57b0c5b12.ACCHE5CSYGVG5H97.SEARCH&ppt=None&ppn=None&ssid=8fxlluiis00000001780910522516&qH=edd443896ef5dbfc&ov_redirect=true&ov_redirect=true
Flipkart,headphones,3,CLOKIFY Wireless Bluetooth Over-Ear Headphones with Dee,₹295,₹999,70% off,No,N/A,None,False,True,Currently unavailable CLOKIFY Wireless Bluetooth Over-Ear Headphones with Dee... ₹295 ₹999 70% off Bank Offer Add to Compare,https://www.flipkart.com/clokify-wireless-bluetooth-over-ear-headphones-deep-bass-foldable-design-red-wired-without-mic/p/itmb4d098a4f7caf?pid=ACCHKG7NNGZRVHFE&lid=LSTACCHKG7NNGZRVHFEUHS8FU&marketplace=FLIPKART&q=headphones&store=0pm%2Ffcn%2Fgc3&srno=s_3_118&otracker=search&fm=organic&iid=7ead10db-b3bb-4d99-a286-76f57b0c5b12.ACCHKG7NNGZRVHFE.SEARCH&ppt=None&ppn=None&ssid=8fxlluiis00000001780910522516&qH=edd443896ef5dbfc&ov_redirect=true&ov_redirect=true
Flipkart,headphones,3,CLOKIFY P47 Wireless Bluetooth Over-Ear Headphones with,₹338,₹999,66% off,No,N/A,None,False,False,Currently unavailable CLOKIFY P47 Wireless Bluetooth Over-Ear Headphones with... ₹338 ₹999 66% off Bank Offer Add to Compare,https://www.flipkart.com/clokify-p47-wireless-bluetooth-over-ear-headphones-deep-bass-foldable-design-white-wired-without-mic/p/itm4d3cbf3267a1c?pid=ACCHKG8TYGSPUYZP&lid=LSTACCHKG8TYGSPUYZPDPA9K9&marketplace=FLIPKART&q=headphones&store=0pm%2Ffcn%2Fgc3&srno=s_3_119&otracker=search&fm=organic&iid=7ead10db-b3bb-4d99-a286-76f57b0c5b12.ACCHKG8TYGSPUYZP.SEARCH&ppt=None&ppn=None&ssid=8fxlluiis00000001780910522516&qH=edd443896ef5dbfc&ov_redirect=true&ov_redirect=true
Flipkart,headphones,3,ckm Wireless Bluetooth Over-Ear Headphones with Soft Cu,₹599,"₹1,999",70% off,No,3.3,None,False,True,"Currently unavailable ckm Wireless Bluetooth Over-Ear Headphones with Soft Cu... 3.3 (8) ₹599 ₹1,999 70% off Super Deals Add to Compare",https://www.flipkart.com/ckm-wireless-bluetooth-over-ear-headphones-soft-cushioned-ear-cups-deep-bass-wired-gaming/p/itmda408df26c519?pid=ACCHKGF3UNJF3Z3S&lid=LSTACCHKGF3UNJF3Z3SIRFKSY&marketplace=FLIPKART&q=headphones&store=0pm%2Ffcn%2Fgc3&srno=s_3_120&otracker=search&fm=organic&iid=7ead10db-b3bb-4d99-a286-76f57b0c5b12.ACCHKGF3UNJF3Z3S.SEARCH&ppt=None&ppn=None&ssid=8fxlluiis00000001780910522516&qH=edd443896ef5dbfc&ov_redirect=true&ov_redirect=true
Flipkart,shoes,1,kardam&sons luxury fashionable Stylish Light Weight Sneakers white,₹385,"₹1,999",80% off,No,N/A,None,False,True,"kardam&sons luxury fashionable Stylish Light Weight Sneakers white ... ₹385 ₹1,999 80% off Buy ₹2 more, save extra 2%",https://www.flipkart.com/kardam-sons-luxury-fashionable-stylish-light-weight-sneakers-white-canvas-shoes-men/p/itmd59eed430d9f5?pid=SHOHA2ZA9K5HQ3PT&lid=LSTSHOHA2ZA9K5HQ3PT373Q66&marketplace=FLIPKART&q=shoes&store=osp&srno=s_1_1&otracker=search&fm=organic&iid=en_HiUhQEDnJU4ebg38i5S4afzD6SjFC8GxDIs6Ze8K4e7C-cALQxRKcDEYBqiBtujxWlN20lP-RhtIhtiC9hfkYw%3D%3D&ppt=None&ppn=None&ssid=wf43w5z1ds0000001780910535866&qH=b0a8b6f820479900&ov_redirect=true
Flipkart,shoes,1,aadi Sneakers For Men,₹314,"₹1,999",84% off,No,N/A,None,False,True,"aadi Sneakers For Men ₹314 ₹1,999 84% off Hot Deal",https://www.flipkart.com/aadi-sneakers-men/p/itmfbbd674083772?pid=SHOGMKFZUPUEJUAW&lid=LSTSHOGMKFZUPUEJUAW7GLOQQ&marketplace=FLIPKART&q=shoes&store=osp&srno=s_1_2&otracker=search&fm=organic&iid=en_HiUhQEDnJU4ebg38i5S4afzD6SjFC8GxDIs6Ze8K4e6SwvLIjw3xl86Q6DhUXwGQiBgVxTb6gVesKFibZY2KuA%3D%3D&ppt=None&ppn=None&ssid=wf43w5z1ds0000001780910535866&qH=b0a8b6f820479900&ov_redirect=true
Flipkart,shoes,1,Onmac enterprises sneakers for men Sneakers For Men,₹382,"₹1,600",76% off,No,N/A,None,False,True,"Onmac enterprises sneakers for men Sneakers For Men ₹382 ₹1,600 76% off Hot Deal",https://www.flipkart.com/onmac-enterprises-sneakers-men/p/itm9ee602395e1c4?pid=SHOH8SZWKVTGDX6G&lid=LSTSHOH8SZWKVTGDX6GH1NIR7&marketplace=FLIPKART&q=shoes&store=osp&srno=s_1_3&otracker=search&fm=organic&iid=a1b5c58c-aa8b-4306-b42c-da415d6a9051.SHOH8SZWKVTGDX6G.SEARCH&ppt=None&ppn=None&ssid=wf43w5z1ds0000001780910535866&qH=b0a8b6f820479900&ov_redirect=true
