platform,query,product_name,current_price,original_price,discount_pct,savings_amount,rating,urgency_text,has_urgency,fake_discount_flag,suspicious_discount,product_url,full_text
Flipkart,smartphones,"Add to Compare MOTOROLA Edge 60 Fusion 5G (PANTONE Amazonite, 128 GB)",22999.0,24999.0,8.0,2000.0,4.4,None,False,No,False,https://www.flipkart.com/motorola-edge-60-fusion-5g-pantone-amazonite-128-gb/p/itm0ba5c1f57331a?pid=MOBHHD2KXMH9NCYG&lid=LSTMOBHHD2KXMH9NCYGOY7CC7&marketplace=FLIPKART&q=smartphones&store=tyy%2F4io&srno=s_1_11&otracker=search&fm=organic&iid=7ebcd331-2a2e-468b-9f23-28085641b794.MOBHHD2KXMH9NCYG.SEARCH&ppt=None&ppn=None&ssid=hgqknvvg000000001780910409817&qH=6ea4465d0add4685&ov_redirect=true,"Currently unavailable Add to Compare MOTOROLA Edge 60 Fusion 5G (PANTONE Amazonite, 128 GB) 4.4 1,21,643 Ratings & 7,182 Reviews 8 GB RAM | 128 GB ROM | Expandable Upto 1 TB 16.94 cm (6.67 inch) Display 50MP + 13MP | 32MP Front Camera 5500 mAh Battery Dimensity 7400 Processor 68W Charger 1 Year Warranty on Handset and 6 Months Warranty on Accessories ₹22,999 ₹24,999 8% off Upto ₹16,350 Off on Exch"
Flipkart,smartphones,"Add to Compare Ai+ Pulse 1 (Green, 64 GB)",7999.0,5150.0,,-2849.0,4.2,None,False,Unknown,False,https://www.flipkart.com/ai-pulse-1-green-64-gb/p/itm90e25907f6424?pid=MOBHDDQXFEAF3HZF&lid=LSTMOBHDDQXFEAF3HZFTNQHKW&marketplace=FLIPKART&q=smartphones&store=tyy%2F4io&srno=s_1_12&otracker=search&fm=organic&iid=7ebcd331-2a2e-468b-9f23-28085641b794.MOBHDDQXFEAF3HZF.SEARCH&ppt=None&ppn=None&ssid=hgqknvvg000000001780910409817&qH=6ea4465d0add4685&ov_redirect=true,"Currently unavailable Add to Compare Ai+ Pulse 1 (Green, 64 GB) 4.2 42,841 Ratings & 2,825 Reviews 4 GB RAM | 64 GB ROM | Expandable Upto 1 TB 17.13 cm (6.745 inch) HD+ Display 50MP Rear Camera | 5MP Front Camera 5000 mAh Battery T615 Processor 1 Year Warranty on Handset and 6 Months Warranty on the Inbox Accessories ₹7,999 Upto ₹5,150 Off on Exchange Bank Offer"
Flipkart,smartphones,"POCO C81x (Ice Blue, 64 GB) 4",10999.0,18999.0,42.0,8000.0,,None,False,No,False,https://www.flipkart.com/poco-c81x-ice-blue-64-gb/p/itmf2e3aacd5257e?pid=MOBHMYWRWPE4S8G6&lid=LSTMOBHMYWRWPE4S8G6INAADH&marketplace=FLIPKART&q=smartphones&store=tyy%2F4io&srno=s_1_13&otracker=search&fm=organic&iid=7ebcd331-2a2e-468b-9f23-28085641b794.MOBHMYWRWPE4S8G6.SEARCH&ppt=None&ppn=None&ssid=hgqknvvg000000001780910409817&qH=6ea4465d0add4685&ov_redirect=true,"Add to Compare POCO C81x (Ice Blue, 64 GB) 4 141 Ratings & 9 Reviews 3 GB RAM | 64 GB ROM | Expandable Upto 2 TB 17.48 cm (6.88 inch) Display 13MP Rear Camera | 8MP Front Camera 5200 mAh Lithium-Ion Polymer Battery T7250 Processor 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories ₹10,999 ₹18,999 42% off Upto ₹7,400 Off on Exchange Bank Offer"
Flipkart,smartphones,"MOTOROLA g37 power (PANTONE Nautical Blue, 128 GB) 4",15999.0,30499.0,47.0,14500.0,,None,False,No,False,https://www.flipkart.com/motorola-g37-power-pantone-nautical-blue-128-gb/p/itmf752f4981d932?pid=MOBHHVFYGN57RYAH&lid=LSTMOBHHVFYGN57RYAHB2DF12&marketplace=FLIPKART&q=smartphones&store=tyy%2F4io&srno=s_1_14&otracker=search&fm=organic&iid=7ebcd331-2a2e-468b-9f23-28085641b794.MOBHHVFYGN57RYAH.SEARCH&ppt=None&ppn=None&ssid=hgqknvvg000000001780910409817&qH=6ea4465d0add4685&ov_redirect=true,"Add to Compare MOTOROLA g37 power (PANTONE Nautical Blue, 128 GB) 4 160 Ratings & 12 Reviews 4 GB RAM | 128 GB ROM | Expandable Upto 1 TB 16.92 cm (6.66 inch) HD+ Display 50MP Rear Camera | 8MP Front Camera 7000 mAh Battery Dimensity 6400 Processor 1 Year on Handset and 6 Months on Accessories ₹15,999 ₹30,499 47% off Upto ₹11,000 Off on Exchange Bank Offer"
Flipkart,smartphones,"REDMI 15 5G (Sandy Purple, 128 GB)",18500.0,19999.0,7.0,1499.0,4.3,Only Few Left,True,No,False,https://www.flipkart.com/redmi-15-5g-sandy-purple-128-gb/p/itmd7bced8727891?pid=MOBHFH95KX2GA62H&lid=LSTMOBHFH95KX2GA62HVQFFHJ&marketplace=FLIPKART&q=smartphones&store=tyy%2F4io&srno=s_1_15&otracker=search&fm=organic&iid=7ebcd331-2a2e-468b-9f23-28085641b794.MOBHFH95KX2GA62H.SEARCH&ppt=None&ppn=None&ssid=hgqknvvg000000001780910409817&qH=6ea4465d0add4685&ov_redirect=true,"Add to Compare REDMI 15 5G (Sandy Purple, 128 GB) 4.3 2,412 Ratings & 137 Reviews 6 GB RAM | 128 GB ROM 17.53 cm (6.9 inch) Display 50MP Rear Camera 7000 mAh Battery 1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase ₹18,500 ₹19,999 7% off Only few left Upto ₹12,850 Off on Exchange"
Flipkart,smartphones,"realme P4 Lite (Beach Gold, 128 GB)",13999.0,9700.0,,-4299.0,4.1,None,False,Unknown,False,https://www.flipkart.com/realme-p4-lite-beach-gold-128-gb/p/itm534024e2339ef?pid=MOBHK685K37ZCSPU&lid=LSTMOBHK685K37ZCSPUTZ3SXB&marketplace=FLIPKART&q=smartphones&store=tyy%2F4io&srno=s_1_16&otracker=search&fm=organic&iid=7ebcd331-2a2e-468b-9f23-28085641b794.MOBHK685K37ZCSPU.SEARCH&ppt=None&ppn=None&ssid=hgqknvvg000000001780910409817&qH=6ea4465d0add4685&ov_redirect=true,"Add to Compare realme P4 Lite (Beach Gold, 128 GB) 4.1 2,746 Ratings & 158 Reviews 4 GB RAM | 128 GB ROM 17.14 cm (6.75 inch) HD+ Display 13MP Rear Camera | 5MP Front Camera 6300 mAh Battery T7250 Processor 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories ₹13,999 Upto ₹9,700 Off on Exchange Bank Offer"
Flipkart,smartphones,"MOTOROLA g06 power (Pantone tapestry, 64 GB)",12999.0,19999.0,35.0,7000.0,4.2,None,False,No,False,https://www.flipkart.com/motorola-g06-power-pantone-tapestry-64-gb/p/itm29390fa68401d?pid=MOBHN973FFYHGUGG&lid=LSTMOBHN973FFYHGUGG27JKDQ&marketplace=FLIPKART&q=smartphones&store=tyy%2F4io&srno=s_1_17&otracker=search&fm=organic&iid=7ebcd331-2a2e-468b-9f23-28085641b794.MOBHN973FFYHGUGG.SEARCH&ppt=None&ppn=None&ssid=hgqknvvg000000001780910409817&qH=6ea4465d0add4685&ov_redirect=true,"Add to Compare MOTOROLA g06 power (Pantone tapestry, 64 GB) 4.2 17,960 Ratings & 1,058 Reviews 4 GB RAM | 64 GB ROM | Expandable Upto 1 TB 17.48 cm (6.88 inch) HD+ Display 50MP Rear Camera | 8MP Front Camera 7000 mAh Battery Helio G81 Processor 1 Year Warranty on Handset and 6 Months Warranty on Accessories ₹12,999 ₹19,999 35% off Upto ₹8,900 Off on Exchange Bank Offer"
Flipkart,smartphones,"POCO C85 5G (Mystic Purple, 128 GB)",14499.0,20999.0,30.0,6500.0,3.8,None,False,No,False,https://www.flipkart.com/poco-c85-5g-mystic-purple-128-gb/p/itm74e2143a5de24?pid=MOBHMGG5UZHEVJBK&lid=LSTMOBHMGG5UZHEVJBK4YXSTE&marketplace=FLIPKART&q=smartphones&store=tyy%2F4io&srno=s_1_18&otracker=search&fm=organic&iid=7ebcd331-2a2e-468b-9f23-28085641b794.MOBHMGG5UZHEVJBK.SEARCH&ppt=None&ppn=None&ssid=hgqknvvg000000001780910409817&qH=6ea4465d0add4685&ov_redirect=true,"Add to Compare POCO C85 5G (Mystic Purple, 128 GB) 3.8 1,286 Ratings & 132 Reviews 4 GB RAM | 128 GB ROM | Expandable Upto 1 TB 17.53 cm (6.9 inch) HD+ Display 50MP Rear Camera | 8MP Front Camera 6000 mAh Lithium-Ion Polymer Battery Dimensity 6300 Processor 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories ₹14,499 ₹20,999 30% off Upto ₹10,000 Off on Exchange B"
Flipkart,smartphones,"vivo T5x 5G (Cyber Green, 128 GB)",24999.0,30999.0,19.0,6000.0,4.4,None,False,No,False,https://www.flipkart.com/vivo-t5x-5g-cyber-green-128-gb/p/itm7da8aa253e72b?pid=MOBHH69NM5ERRNFT&lid=LSTMOBHH69NM5ERRNFTB1RHB5&marketplace=FLIPKART&q=smartphones&store=tyy%2F4io&srno=s_1_19&otracker=search&fm=organic&iid=7ebcd331-2a2e-468b-9f23-28085641b794.MOBHH69NM5ERRNFT.SEARCH&ppt=None&ppn=None&ssid=hgqknvvg000000001780910409817&qH=6ea4465d0add4685&ov_redirect=true,"Add to Compare vivo T5x 5G (Cyber Green, 128 GB) 4.4 10,950 Ratings & 878 Reviews 8 GB RAM | 128 GB ROM 17.17 cm (6.76 inch) Display 50MP + 2MP | 32MP Front Camera 7200 mAh Li-ion Battery Dimensity 7400-Turbo Processor 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories ₹24,999 ₹30,999 19% off Upto ₹17,550 Off on Exchange Bank Offer"
Flipkart,smartphones,"Add to Compare MOTOROLA g06 power (Pantone Tendril, 64 GB)",9999.0,6650.0,,-3349.0,4.2,None,False,Unknown,False,https://www.flipkart.com/motorola-g06-power-pantone-tendril-64-gb/p/itm042f1f6d04b3a?pid=MOBHFSCEDQXXDXUQ&lid=LSTMOBHFSCEDQXXDXUQ5OORZ3&marketplace=FLIPKART&q=smartphones&store=tyy%2F4io&srno=s_1_20&otracker=search&fm=organic&iid=7ebcd331-2a2e-468b-9f23-28085641b794.MOBHFSCEDQXXDXUQ.SEARCH&ppt=None&ppn=None&ssid=hgqknvvg000000001780910409817&qH=6ea4465d0add4685&ov_redirect=true,"Currently unavailable Add to Compare MOTOROLA g06 power (Pantone Tendril, 64 GB) 4.2 17,960 Ratings & 1,058 Reviews 4 GB RAM | 64 GB ROM | Expandable Upto 1 TB 17.48 cm (6.88 inch) HD+ Display 50MP Rear Camera | 8MP Front Camera 7000 mAh Battery Helio G81 Processor 1 Year Warranty on Handset and 6 Months Warranty on Accessories ₹9,999 Upto ₹6,650 Off on Exchange Bank Offer"
Flipkart,smartphones,"OnePlus Nord CE6 Lite (Hyper Black, 128 GB)",23710.0,31999.0,25.0,8289.0,4.1,Only Few Left,True,No,False,https://www.flipkart.com/oneplus-nord-ce6-lite-hyper-black-128-gb/p/itm894a5599b758b?pid=MOBHN8BDFU3PHHUR&lid=LSTMOBHN8BDFU3PHHURVOUB8L&marketplace=FLIPKART&q=smartphones&store=tyy%2F4io&srno=s_1_21&otracker=search&fm=organic&iid=7ebcd331-2a2e-468b-9f23-28085641b794.MOBHN8BDFU3PHHUR.SEARCH&ppt=None&ppn=None&ssid=hgqknvvg000000001780910409817&qH=6ea4465d0add4685&ov_redirect=true,"Add to Compare OnePlus Nord CE6 Lite (Hyper Black, 128 GB) 4.1 140 Ratings & 12 Reviews 6 GB RAM | 128 GB ROM | Expandable Upto 128 GB 17.07 cm (6.72 inch) Full HD+ Display 50MP Rear Camera | 50MP Front Camera 7000 mAh Battery Qualcomm Snapdragon 7s Gen 4 Processor one year of handset six month of accessories ₹23,710 ₹31,999 25% off Super Deals Only few left"
