platform,query,page,product_name,current_price,original_price,discount,fake_discount,rating,urgency_text,has_urgency,suspicious_discount,full_text,product_url
Myntra,clothing,2,Googo Gaaga Boys Printed Clothing Set,₹398,₹1400,72% off,No,4.4,None,False,True,4.4 | 5.8k Googo Gaaga Boys Printed Clothing Set Sizes: 6-7Y Rs. 398 Rs. 1400 (72% OFF) VIEW SIMILAR wishlist Select a size 6-7Y,https://www.myntra.com/clothing-set/googo+gaaga/googo-gaaga-boys-printed-t-shirt--shorts-clothing-set/28935878/buy
Myntra,clothing,2,Enamor Plus Size Seamless Bra,₹873,₹1589,45% off,No,4.5,None,False,False,4.5 | 422 AD Enamor Plus Size Seamless Bra Sizes: 36G Rs. 873 Rs. 1589 (45% OFF) VIEW SIMILAR wishlist Select a size 36G,https://www.myntra.com/bra/enamor/enamor-non-padded-wired-full-coverage-detachable-strap-for-multiway-styling-minimizer-bra-/25379318/buy
Myntra,clothing,2,DressBerry Lace Inserts Padded Bra,₹549,₹2499,78% off,No,4.5,None,False,True,4.5 | 10 AD DressBerry Lace Inserts Padded Bra Sizes: 30 Rs. 549 Rs. 2499 (78% OFF) VIEW SIMILAR wishlist Select a size 30,https://www.myntra.com/bra/dressberry/dressberry-floral-lace-inserts-medium-coverage-heavily-padded-bra-dbss26wbrarval5-03b/39508323/buy
Myntra,clothing,2,Enamor Cotton T-Shirt Bra - A077,₹1022,₹1099,7% off,No,4.6,Only Few Left,True,False,4.6 | 8.1k AD Enamor Cotton T-Shirt Bra - A077 Sizes: 34C Rs. 1022 Rs. 1099 (7% OFF) Only Few Left! VIEW SIMILAR wishlist Select a size 34C,https://www.myntra.com/bra/enamor/enamor-women-bamboo-cotton-full-support-everyday-t-shirt-bra---a077/23532378/buy
Myntra,clothing,2,Enamor Bra Solid,₹1027,₹1869,45% off,No,4.2,None,False,False,4.2 | 543 AD Enamor Bra Solid Sizes: 32C Rs. 1027 Rs. 1869 (45% OFF) VIEW SIMILAR wishlist Select a size 32C,https://www.myntra.com/bra/enamor/enamor-front-open-padded-wirefree-full-coverage-high-impact-sports-bra-sb29/30453259/buy
Myntra,clothing,2,Blackberrys Men Chinos Trousers,₹1221,₹2599,53% off,No,3.3,None,False,False,3.3 | 7 AD Blackberrys Men Chinos Trousers Sizes: 32 Rs. 1221 Rs. 2599 (53% OFF) VIEW SIMILAR wishlist Select a size 32,https://www.myntra.com/trousers/blackberrys/blackberrys-men-chinos-trousers/41014267/buy
Myntra,clothing,3,Thiya Boys Printed T-shirt & Shorts,₹350,₹1999,82% off,No,4.1,None,False,True,4.1 | 203 Thiya Boys Printed T-shirt & Shorts Sizes: 1-2Y Rs. 350 Rs. 1999 (82% OFF) VIEW SIMILAR wishlist Select a size 1-2Y,https://www.myntra.com/clothing-set/thiya/thiya-boys-printed-t-shirt-with-shorts-clothing-set/31282000/buy
Myntra,sunglasses,1,Voyage Unisex Oval Sunglasses,₹900,₹3000,70% off,No,4.4,None,False,True,4.4 | 1.9k AD Voyage Unisex Oval Sunglasses Sizes: S Rs. 900 Rs. 3000 (70% OFF) VIEW SIMILAR wishlist Select a size S,https://www.myntra.com/sunglasses/voyage/voyage-unisex-oval-sunglasses-with-uv-protected-lens-b80580mg5182/26883092/buy
Myntra,sunglasses,1,Voyage Women Square Sunglasses,₹744,₹3000,N/A,No,4.5,None,False,False,4.5 | 2k AD Voyage Women Square Sunglasses Sizes: S Rs. 744 Rs. 3000 (Rs. 2256 OFF) VIEW SIMILAR wishlist Select a size S,https://www.myntra.com/sunglasses/voyage/voyage-women-square-sunglasses-with-uv-protected-lens-8926wmg2778/25286588/buy
Myntra,sunglasses,1,HRX by Hrithik Roshan Men Sunglasses,₹799,₹2897,72% off,No,N/A,None,False,True,HRX by Hrithik Roshan Men Sunglasses Sizes: S Rs. 799 Rs. 2897 (72% OFF) VIEW SIMILAR wishlist Select a size S,https://www.myntra.com/sunglasses/hrx+by+hrithik+roshan/hrx-by-hrithik-roshan-men-black-lens--gunmetal-toned-aviator-sunglasses-with/39839268/buy
Myntra,sunglasses,1,KIDSUN Kids UV Protect Oval Sunglass,₹379,₹999,62% off,No,4.6,None,False,False,4.6 | 80 KIDSUN Kids UV Protect Oval Sunglass Sizes: M Rs. 379 Rs. 999 (62% OFF) VIEW SIMILAR wishlist Select a size M,https://www.myntra.com/sunglasses/kidsun/kidsun-kids-full-rim-uv-protection-oval-shape-sunglasses/37182795/buy
Myntra,sunglasses,1,Vincent Chase Sunglasses UV Protected Lens,₹899,₹1999,55% off,No,4.3,Only Few Left,True,False,4.3 | 110 AD Vincent Chase Sunglasses UV Protected Lens Sizes: L Rs. 899 Rs. 1999 (55% OFF) Only Few Left! VIEW SIMILAR wishlist Select a size L,https://www.myntra.com/sunglasses/vincent+chase/vincent-chase-by-lenskart-women-wayfarer-sunglasses-with-polarised-and-uv-protected-lens-135882/22460236/buy
Myntra,sunglasses,1,ZIKKU Babies Sunglasses 024 Months,₹976,₹1499,35% off,No,N/A,None,False,False,NEW ZIKKU Babies Sunglasses 024 Months Sizes: S Rs. 976 Rs. 1499 (35% OFF) VIEW SIMILAR wishlist Select a size S,https://www.myntra.com/sunglasses/zikku/zikku-unisex-kids-black-sunglasses-with/40697601/buy
Myntra,sunglasses,1,ZIKKU Babies Sunglasses 310 Years,₹976,₹1499,35% off,No,4.2,None,False,False,4.2 | 5 ZIKKU Babies Sunglasses 310 Years Sizes: M Rs. 976 Rs. 1499 (35% OFF) VIEW SIMILAR wishlist Select a size M,https://www.myntra.com/sunglasses/zikku/zikku-unisex-kids-black-sunglasses-with/40698003/buy
Myntra,sunglasses,1,Voyage Women Rectangle Sunglasses with UV Protected Lens,₹738,₹1800,59% off,No,4.4,None,False,False,4.4 | 2.7k AD Voyage Women Rectangle Sunglasses with UV Protected Lens Sizes: S Rs. 738 Rs. 1800 (59% OFF) VIEW SIMILAR wishlist Select a size S,https://www.myntra.com/sunglasses/voyage/voyage-women-black-lens-rectangle-sunglasses-with-uv-protected-lens-b80389mg3456c-/14582858/buy
Myntra,sunglasses,1,Provogue Men Fashion with Polarised and UV Protected Lens Sunglasses,₹439,₹1999,N/A,No,3.9,None,False,False,3.9 | 506 Provogue Men Fashion with Polarised and UV Protected Lens Sunglasses Sizes: L Rs. 439 Rs. 1999 (Rs. 1560 OFF) VIEW SIMILAR wishlist Select a size L,https://www.myntra.com/sunglasses/provogue/provogue-men-black-fashion-with-sunglasses/35894836/buy
Myntra,sunglasses,1,SHOP FRENZY Unisex Kids Aviator Sunglasses with UV Protected Lens,₹412,₹1299,68% off,No,N/A,None,False,False,SHOP FRENZY Unisex Kids Aviator Sunglasses with UV Protected Lens Sizes: S Rs. 412 Rs. 1299 (68% OFF) VIEW SIMILAR wishlist Select a size S,https://www.myntra.com/sunglasses/shop+frenzy/shop-frenzy-unisex-kids-aviator-sunglasses-with-uv-protected-lens/32726201/buy
Myntra,sunglasses,1,Voyage Unisex Wayfarer Sunglasses,₹840,₹3000,72% off,No,4.2,None,False,True,4.2 | 90 AD Voyage Unisex Wayfarer Sunglasses Sizes: S Rs. 840 Rs. 3000 (72% OFF) VIEW SIMILAR wishlist Select a size S,https://www.myntra.com/sunglasses/voyage/voyage-unisex-wayfarer-sunglasses-with-polarised-and-uv-protected-lens-1031pmg3966z/29775356/buy
Myntra,sunglasses,1,Espee Women Sunglasses,₹869,₹2895,70% off,No,N/A,None,False,True,Espee Women Sunglasses Sizes: M Rs. 869 Rs. 2895 (70% OFF) VIEW SIMILAR wishlist Select a size M,https://www.myntra.com/sunglasses/espee/espee-women-brown-lens-and-brown-square-full-rim-sunglasses-with-uv-protection/42079823/buy
Myntra,sunglasses,1,HAYDEN haiza Men Rectangle Sunglasses,₹312,₹1999,84% off,No,4.4,None,False,True,4.4 | 192 HAYDEN haiza Men Rectangle Sunglasses Sizes: S Rs. 312 Rs. 1999 (84% OFF) VIEW SIMILAR wishlist Select a size S,https://www.myntra.com/sunglasses/hayden+haiza/hayden-haiza-men-rectangle-sunglasses-with-polarised-lens-sunglasses-wood-cherry/36077440/buy
Myntra,sunglasses,1,Voyage Women Cateye Sunglasses,₹612,₹1800,66% off,No,4.5,None,False,False,4.5 | 5.6k AD Voyage Women Cateye Sunglasses Sizes: M Rs. 612 Rs. 1800 (66% OFF) VIEW SIMILAR wishlist Select a size M,https://www.myntra.com/sunglasses/voyage/voyage-women-uv-protected-cateye-sunglasses-b6101mg3176/11392288/buy
Myntra,sunglasses,1,FUNGLASSES Unisex Rectangle Sunglasses,₹299,₹1999,85% off,No,4.4,None,False,True,4.4 | 918 FUNGLASSES Unisex Rectangle Sunglasses Sizes: M Rs. 299 Rs. 1999 (85% OFF) VIEW SIMILAR wishlist Select a size M,https://www.myntra.com/sunglasses/funglasses/funglasses-unisex-rectangle-sunglasses-with-uv-protected-lens/33202425/buy
Myntra,sunglasses,1,HRX by Hrithik Roshan Men Sunglasses,₹807,₹2897,72% off,No,3.8,None,False,True,3.8 | 5 HRX by Hrithik Roshan Men Sunglasses Sizes: S Rs. 807 Rs. 2897 (72% OFF) VIEW SIMILAR wishlist Select a size S,https://www.myntra.com/sunglasses/hrx+by+hrithik+roshan/hrx-by-hrithik-roshan-men-green-lens--black-aviator-sunglasses-with/39839267/buy
Myntra,sunglasses,1,Voyage UV Protected Sunglasses,₹900,₹3000,70% off,No,4.3,None,False,True,4.3 | 334 AD Voyage UV Protected Sunglasses Sizes: S Rs. 900 Rs. 3000 (70% OFF) VIEW SIMILAR wishlist Select a size S,https://www.myntra.com/sunglasses/voyage/voyage-polarised-and-uv-protected-lens-full-rim-round-sunglasses-3040mg3982z/22651492/buy
